,day_counter,0,1,2,3,4,5,6,7
2010-06-18,168,56,11,,,,,,
2010-06-19,169,56,11,,,,,,
2010-06-20,170,56,11,,,,,,
2010-06-21,171,56,11,,,,,,
2010-06-22,172,56,11,,,,,,
2010-06-23,173,56,11,,,,,,
2010-06-24,174,56,10,,,,,,
2010-06-25,175,57,10,,,,,,
2010-06-26,176,58,10,,,,,,
2010-06-27,177,58,10,,,,,,
2010-06-28,178,59,10,,,,,,
2010-06-29,179,61,10,,,,,,
2010-06-30,180,62,9,,,,,,
2010-07-01,181,62,9,,,,,,
2010-07-02,182,63,9,,,,,,
2010-07-03,183,63,9,,,,,,
2010-07-04,184,63,9,,,,,,
2010-07-05,185,63,9,,,,,,
2010-07-06,186,63,9,,,,,,
2010-07-07,187,63,9,,,,,,
2010-07-08,188,63,9,,,,,,
2010-07-09,189,63,9,,,,,,
2010-07-10,190,63,9,,,,,,
2010-07-11,191,63,9,,,,,,
2010-07-12,192,63,9,,,,,,
2010-07-13,193,64,9,,,,,,
2010-07-14,194,64,9,,,,,,
2010-07-15,195,63,9,,,,,,
2010-07-16,196,63,9,,,,,,
2010-07-17,197,64,9,,,,,,
2010-07-18,198,64,9,,,,,,
2010-07-19,199,65,9,,,,,,
2010-07-20,200,65,10,,,,,,
2010-07-21,201,69,10,,,,,,
2010-07-22,202,69,10,,,,,,
2010-07-23,203,69,10,,,,,,
2010-07-24,204,69,10,,,,,,
2010-07-25,205,70,10,,,,,,
2010-07-26,206,71,10,,,,,,
2010-07-27,207,73,10,,,,,,
2010-07-28,208,73,10,,,,,,
2010-07-29,209,73,10,,,,,,
2010-07-30,210,74,10,,,,,,
2010-07-31,211,74,10,,,,,,
2010-08-01,212,74,10,,,,,,
2010-08-02,213,73,10,,,,,,
2010-08-03,214,73,9,,,,,,
2010-08-04,215,73,9,,,,,,
2010-08-05,216,73,9,,,,,,
2010-08-06,217,75,9,,,,,,
2010-08-07,218,75,9,,,,,,
2010-08-08,219,75,9,,,,,,
2010-08-09,220,75,9,,,,,,
2010-08-10,221,75,9,,,,,,
2010-08-11,222,75,9,,,,,,
2010-08-12,223,75,9,,,,,,
2010-08-13,224,75,9,,,,,,
2010-08-14,225,75,9,,,,,,
2010-08-15,226,76,9,,,,,,
2010-08-16,227,77,9,,,,,,
2010-08-17,228,77,9,,,,,,
2010-08-18,229,78,9,,,,,,
2010-08-19,230,79,9,,,,,,
2010-08-20,231,79,9,,,,,,
2010-08-21,232,79,9,,,,,,
2010-08-22,233,79,9,,,,,,
2010-08-23,234,79,7,,,,,,
2010-08-24,235,79,7,,,,,,
2010-08-25,236,79,7,,,,,,
2010-08-26,237,79,7,,,,,,
2010-08-27,238,79,7,,,,,,
2010-08-28,239,79,7,,,,,,
2010-08-29,240,79,7,,,,,,
2010-08-30,241,79,7,,,,,,
2010-08-31,242,79,7,,,,,,
2010-09-01,243,79,7,,,,,,
2010-09-02,244,79,7,,,,,,
2010-09-03,245,79,7,,,,,,
2010-09-04,246,79,7,,,,,,
2010-09-05,247,79,7,,,,,,
2010-09-06,248,81,7,,,,,,
2010-09-07,249,80,8,,,,,,
2010-09-08,250,80,8,,,,,,
2010-09-09,251,80,8,,,,,,
2010-09-10,252,80,8,,,,,,
2010-09-11,253,81,8,,,,,,
2010-09-12,254,81,8,,,,,,
2010-09-13,255,81,7,,,,,,
2010-09-14,256,82,7,,,,,,
2010-09-15,257,82,7,,,,,,
2010-09-16,258,83,7,,,,,,
2010-09-17,259,83,7,,,,,,
2010-09-18,260,83,7,,,,,,
2010-09-19,261,83,7,,,,,,
2010-09-20,262,85,7,,,,,,
2010-09-21,263,85,7,,,,,,
2010-09-22,264,85,7,,,,,,
2010-09-23,265,85,7,,,,,,
2010-09-24,266,87,7,,,,,,
2010-09-25,267,88,7,,,,,,
2010-09-26,268,88,7,,,,,,
2010-09-27,269,88,7,,,,,,
2010-09-28,270,88,7,,,,,,
2010-09-29,271,88,7,,,,,,
2010-09-30,272,88,7,,,,,,
2010-10-01,273,89,7,,,,,,
2010-10-02,274,89,7,,,,,,
2010-10-03,275,88,7,,,,,,
2010-10-04,276,88,7,,,,,,
2010-10-05,277,89,7,,,,,,
2010-10-06,278,90,7,,,,,,
2010-10-07,279,90,7,,,,,,
2010-10-08,280,91,7,,,,,,
2010-10-09,281,92,7,,,,,,
