,day_counter,0,1,2,3,4,5,6
2010-06-28,178,52,4,,,,,
2010-06-29,179,54,4,,,,,
2010-06-30,180,56,2,,,,,
2010-07-01,181,56,2,,,,,
2010-07-02,182,57,2,,,,,
2010-07-03,183,57,2,,,,,
2010-07-04,184,57,2,,,,,
2010-07-05,185,57,2,,,,,
2010-07-06,186,57,2,,,,,
2010-07-07,187,57,2,,,,,
2010-07-08,188,57,2,,,,,
2010-07-09,189,56,2,,,,,
2010-07-10,190,56,2,,,,,
2010-07-11,191,56,2,,,,,
2010-07-12,192,56,2,,,,,
2010-07-13,193,55,2,,,,,
2010-07-14,194,55,2,,,,,
2010-07-15,195,56,2,,,,,
2010-07-16,196,57,2,,,,,
2010-07-17,197,58,2,,,,,
2010-07-18,198,58,2,,,,,
2010-07-19,199,59,2,,,,,
2010-07-20,200,59,2,,,,,
2010-07-21,201,62,2,,,,,
2010-07-22,202,60,2,,,,,
2010-07-23,203,58,4,,,,,
2010-07-24,204,59,4,,,,,
2010-07-25,205,60,4,,,,,
2010-07-26,206,61,4,,,,,
2010-07-27,207,63,4,,,,,
2010-07-28,208,63,4,,,,,
2010-07-29,209,63,4,,,,,
2010-07-30,210,64,4,,,,,
2010-07-31,211,64,4,,,,,
2010-08-01,212,64,4,,,,,
2010-08-02,213,63,4,,,,,
2010-08-03,214,62,4,,,,,
2010-08-04,215,62,4,,,,,
2010-08-05,216,62,4,,,,,
2010-08-06,217,64,4,,,,,
2010-08-07,218,64,4,,,,,
2010-08-08,219,63,4,,,,,
2010-08-09,220,63,4,,,,,
2010-08-10,221,63,4,,,,,
2010-08-11,222,62,4,,,,,
2010-08-12,223,62,4,,,,,
2010-08-13,224,62,4,,,,,
2010-08-14,225,62,4,,,,,
2010-08-15,226,64,2,,,,,
2010-08-16,227,65,2,,,,,
2010-08-17,228,65,2,,,,,
2010-08-18,229,65,2,,,,,
2010-08-19,230,66,2,,,,,
2010-08-20,231,66,2,,,,,
2010-08-21,232,66,2,,,,,
2010-08-22,233,66,2,,,,,
2010-08-23,234,64,2,,,,,
2010-08-24,235,64,2,,,,,
2010-08-25,236,64,2,,,,,
2010-08-26,237,64,2,,,,,
2010-08-27,238,64,2,,,,,
2010-08-28,239,64,2,,,,,
2010-08-29,240,64,2,,,,,
2010-08-30,241,64,2,,,,,
2010-08-31,242,63,2,,,,,
2010-09-01,243,63,2,,,,,
2010-09-02,244,63,2,,,,,
2010-09-03,245,63,2,,,,,
2010-09-04,246,63,2,,,,,
2010-09-05,247,63,2,,,,,
2010-09-06,248,64,2,,,,,
2010-09-07,249,64,2,,,,,
2010-09-08,250,64,2,,,,,
2010-09-09,251,64,2,,,,,
2010-09-10,252,64,2,,,,,
2010-09-11,253,65,2,,,,,
2010-09-12,254,65,2,,,,,
2010-09-13,255,64,2,,,,,
2010-09-14,256,64,2,,,,,
2010-09-15,257,64,2,,,,,
2010-09-16,258,65,2,,,,,
2010-09-17,259,65,2,,,,,
2010-09-18,260,65,2,,,,,
2010-09-19,261,63,2,,,,,
2010-09-20,262,65,2,,,,,
2010-09-21,263,64,2,,,,,
2010-09-22,264,63,2,,,,,
2010-09-23,265,63,2,,,,,
2010-09-24,266,65,2,,,,,
2010-09-25,267,66,2,,,,,
2010-09-26,268,66,2,,,,,
2010-09-27,269,66,2,,,,,
2010-09-28,270,66,2,,,,,
2010-09-29,271,66,2,,,,,
2010-09-30,272,66,2,,,,,
2010-10-01,273,66,2,,,,,
2010-10-02,274,66,2,,,,,
2010-10-03,275,67,2,,,,,
2010-10-04,276,68,2,,,,,
2010-10-05,277,69,2,,,,,
2010-10-06,278,69,2,,,,,
2010-10-07,279,69,2,,,,,
2010-10-08,280,68,2,,,,,
2010-10-09,281,69,2,,,,,
2010-10-10,282,69,2,,,,,
2010-10-11,283,69,2,,,,,
2010-10-12,284,69,2,,,,,
2010-10-13,285,70,2,,,,,
2010-10-14,286,69,4,,,,,
2010-10-15,287,69,4,,,,,
2010-10-16,288,69,4,,,,,
2010-10-17,289,69,4,,,,,
2010-10-18,290,69,4,,,,,
2010-10-19,291,67,4,,,,,
2010-10-20,292,66,4,,,,,
2010-10-21,293,67,4,,,,,
2010-10-22,294,67,4,,,,,
2010-10-23,295,67,4,,,,,
2010-10-24,296,67,4,,,,,
2010-10-25,297,68,4,,,,,
2010-10-26,298,67,4,,,,,
2010-10-27,299,67,4,,,,,
2010-10-28,300,68,4,,,,,
2010-10-29,301,69,4,,,,,
2010-10-30,302,70,4,,,,,
2010-10-31,303,70,4,,,,,
2010-11-01,304,71,4,,,,,
2010-11-02,305,73,4,,,,,
2010-11-03,306,74,4,,,,,
2010-11-04,307,74,4,,,,,
2010-11-05,308,74,4,,,,,
2010-11-06,309,72,6,,,,,
2010-11-07,310,72,6,,,,,
2010-11-08,311,72,6,,,,,
2010-11-09,312,72,6,,,,,
2010-11-10,313,74,4,,,,,
2010-11-11,314,74,4,,,,,
2010-11-12,315,74,4,,,,,
2010-11-13,316,74,4,,,,,
2010-11-14,317,74,4,,,,,
2010-11-15,318,72,4,,,,,
2010-11-16,319,73,4,,,,,
2010-11-17,320,74,4,,,,,
2010-11-18,321,74,4,,,,,
2010-11-19,322,74,4,,,,,
2010-11-20,323,74,4,,,,,
2010-11-21,324,74,4,,,,,
2010-11-22,325,75,4,,,,,
2010-11-23,326,75,4,,,,,
2010-11-24,327,76,4,,,,,
2010-11-25,328,77,4,,,,,
2010-11-26,329,77,4,,,,,
2010-11-27,330,77,4,,,,,
2010-11-28,331,78,4,,,,,
2010-11-29,332,78,4,,,,,
2010-11-30,333,80,4,,,,,
2010-12-01,334,78,4,,,,,
