,day_counter,0,1,2,3,4,5,6,7
2010-06-18,168,49,6,,,,,,
2010-06-19,169,49,6,,,,,,
2010-06-20,170,49,6,,,,,,
2010-06-21,171,49,6,,,,,,
2010-06-22,172,49,6,,,,,,
2010-06-23,173,49,6,,,,,,
2010-06-24,174,50,4,,,,,,
2010-06-25,175,50,4,,,,,,
2010-06-26,176,51,4,,,,,,
2010-06-27,177,51,4,,,,,,
2010-06-28,178,52,4,,,,,,
2010-06-29,179,54,4,,,,,,
2010-06-30,180,54,4,,,,,,
2010-07-01,181,54,4,,,,,,
2010-07-02,182,55,4,,,,,,
2010-07-03,183,55,4,,,,,,
2010-07-04,184,54,4,,,,,,
2010-07-05,185,54,4,,,,,,
2010-07-06,186,55,4,,,,,,
2010-07-07,187,55,4,,,,,,
2010-07-08,188,55,4,,,,,,
2010-07-09,189,55,4,,,,,,
2010-07-10,190,55,4,,,,,,
2010-07-11,191,55,4,,,,,,
2010-07-12,192,55,4,,,,,,
2010-07-13,193,55,4,,,,,,
2010-07-14,194,55,4,,,,,,
2010-07-15,195,56,4,,,,,,
2010-07-16,196,56,4,,,,,,
2010-07-17,197,56,4,,,,,,
2010-07-18,198,55,4,,,,,,
2010-07-19,199,56,4,,,,,,
2010-07-20,200,56,5,,,,,,
2010-07-21,201,60,5,,,,,,
2010-07-22,202,60,5,,,,,,
2010-07-23,203,59,7,,,,,,
2010-07-24,204,60,7,,,,,,
2010-07-25,205,61,7,,,,,,
2010-07-26,206,62,7,,,,,,
2010-07-27,207,64,7,,,,,,
2010-07-28,208,64,7,,,,,,
2010-07-29,209,63,7,,,,,,
2010-07-30,210,64,7,,,,,,
2010-07-31,211,64,7,,,,,,
2010-08-01,212,64,7,,,,,,
2010-08-02,213,63,7,,,,,,
2010-08-03,214,61,7,,,,,,
2010-08-04,215,60,7,,,,,,
2010-08-05,216,60,7,,,,,,
2010-08-06,217,62,7,,,,,,
2010-08-07,218,62,7,,,,,,
2010-08-08,219,63,7,,,,,,
2010-08-09,220,63,7,,,,,,
2010-08-10,221,63,7,,,,,,
2010-08-11,222,62,7,,,,,,
2010-08-12,223,62,7,,,,,,
2010-08-13,224,62,7,,,,,,
2010-08-14,225,62,7,,,,,,
2010-08-15,226,62,7,,,,,,
2010-08-16,227,63,7,,,,,,
2010-08-17,228,63,7,,,,,,
2010-08-18,229,63,7,,,,,,
2010-08-19,230,64,7,,,,,,
2010-08-20,231,64,7,,,,,,
2010-08-21,232,64,7,,,,,,
2010-08-22,233,64,7,,,,,,
2010-08-23,234,62,7,,,,,,
2010-08-24,235,62,7,,,,,,
2010-08-25,236,62,7,,,,,,
2010-08-26,237,62,7,,,,,,
2010-08-27,238,62,7,,,,,,
2010-08-28,239,62,7,,,,,,
2010-08-29,240,62,7,,,,,,
2010-08-30,241,63,7,,,,,,
2010-08-31,242,63,7,,,,,,
2010-09-01,243,63,7,,,,,,
2010-09-02,244,63,7,,,,,,
2010-09-03,245,63,7,,,,,,
2010-09-04,246,63,7,,,,,,
2010-09-05,247,63,7,,,,,,
2010-09-06,248,62,7,,,,,,
2010-09-07,249,60,8,,,,,,
2010-09-08,250,60,8,,,,,,
2010-09-09,251,60,8,,,,,,
2010-09-10,252,60,8,,,,,,
2010-09-11,253,62,8,,,,,,
2010-09-12,254,62,8,,,,,,
2010-09-13,255,61,8,,,,,,
