,day_counter,0,1,2,3,4,5
2010-07-10,9,1,,,,,
2010-07-11,10,1,,,,,
2010-07-12,11,1,,,,,
2010-07-13,12,2,,,,,
2010-07-14,13,2,,,,,
2010-07-15,14,3,,,,,
2010-07-16,15,4,,,,,
2010-07-17,16,5,,,,,
2010-07-18,17,6,,,,,
2010-07-19,18,7,,,,,
2010-07-20,19,7,2,,,,
2010-07-21,20,11,2,,,,
2010-07-22,21,10,2,,,,
2010-07-23,22,11,2,,,,
2010-07-24,23,12,2,,,,
2010-07-25,24,13,2,,,,
2010-07-26,25,14,2,,,,
2010-07-27,26,16,2,,,,
2010-07-28,27,16,2,,,,
2010-07-29,28,16,2,,,,
2010-07-30,29,17,2,,,,
2010-07-31,30,17,2,,,,
2010-08-01,31,17,2,,,,
2010-08-02,32,17,2,,,,
2010-08-03,33,17,2,,,,
2010-08-04,34,17,2,,,,
2010-08-05,35,17,2,,,,
2010-08-06,36,19,2,,,,
2010-08-07,37,19,2,,,,
2010-08-08,38,21,,,,,
2010-08-09,39,21,,,,,
2010-08-10,40,21,,,,,
2010-08-11,41,21,,,,,
2010-08-12,42,21,,,,,
2010-08-13,43,21,,,,,
2010-08-14,44,21,,,,,
2010-08-15,45,21,,,,,
2010-08-16,46,22,,,,,
2010-08-17,47,22,,,,,
2010-08-18,48,23,,,,,
2010-08-19,49,24,,,,,
2010-08-20,50,24,,,,,
2010-08-21,51,24,,,,,
2010-08-22,52,24,,,,,
2010-08-23,53,23,,,,,
2010-08-24,54,23,,,,,
2010-08-25,55,23,,,,,
2010-08-26,56,23,,,,,
2010-08-27,57,23,,,,,
2010-08-28,58,23,,,,,
2010-08-29,59,23,,,,,
2010-08-30,60,24,,,,,
2010-08-31,61,24,,,,,
2010-09-01,62,24,,,,,
2010-09-02,63,24,,,,,
2010-09-03,64,24,,,,,
2010-09-04,65,24,,,,,
2010-09-05,66,24,,,,,
2010-09-06,67,24,,,,,
2010-09-07,68,22,2,,,,
2010-09-08,69,22,2,,,,
2010-09-09,70,22,2,,,,
2010-09-10,71,22,2,,,,
2010-09-11,72,24,2,,,,
2010-09-12,73,24,2,,,,
2010-09-13,74,23,2,,,,
2010-09-14,75,24,2,,,,
2010-09-15,76,25,2,,,,
2010-09-16,77,26,2,,,,
2010-09-17,78,27,2,,,,
2010-09-18,79,27,2,,,,
2010-09-19,80,27,2,,,,
2010-09-20,81,29,2,,,,
2010-09-21,82,29,2,,,,
2010-09-22,83,29,2,,,,
2010-09-23,84,29,2,,,,
2010-09-24,85,31,2,,,,
2010-09-25,86,32,2,,,,
2010-09-26,87,32,2,,,,
2010-09-27,88,32,2,,,,
2010-09-28,89,32,2,,,,
2010-09-29,90,32,2,,,,
2010-09-30,91,32,2,,,,
2010-10-01,0,1,,,,,
2010-10-02,1,1,,,,,
2010-10-03,2,2,,,,,
2010-10-04,3,3,,,,,
2010-10-05,4,4,,,,,
2010-10-06,5,5,,,,,
2010-10-07,6,5,,,,,
2010-10-08,7,5,,,,,
2010-10-09,8,6,,,,,
2010-10-10,9,6,,,,,
2010-10-11,10,6,,,,,
2010-10-12,11,6,,,,,
2010-10-13,12,7,,,,,
2010-10-14,13,8,2,,,,
2010-10-15,14,8,2,,,,
2010-10-16,15,8,2,,,,
2010-10-17,16,8,2,,,,
2010-10-18,17,8,2,,,,
2010-10-19,18,9,2,,,,
2010-10-20,19,9,2,,,,
2010-10-21,20,10,2,,,,
2010-10-22,21,10,2,,,,
2010-10-23,22,10,2,,,,
2010-10-24,23,10,2,,,,
2010-10-25,24,11,2,,,,
2010-10-26,25,10,2,,,,
2010-10-27,26,10,2,,,,
2010-10-28,27,11,2,,,,
2010-10-29,28,12,2,,,,
2010-10-30,29,13,2,,,,
2010-10-31,30,13,2,,,,
2010-11-01,31,14,2,,,,
2010-11-02,32,16,2,,,,
2010-11-03,33,17,2,,,,
2010-11-04,34,19,2,,,,
2010-11-05,35,19,2,,,,
2010-11-06,36,18,4,,,,
2010-11-07,37,18,4,,,,
2010-11-08,38,18,4,,,,
2010-11-09,39,18,4,,,,
2010-11-10,40,19,4,,,,
2010-11-11,41,20,4,,,,
2010-11-12,42,20,4,,,,
2010-11-13,43,20,4,,,,
2010-11-14,44,20,4,,,,
2010-11-15,45,21,4,,,,
2010-11-16,46,22,4,,,,
2010-11-17,47,23,4,,,,
2010-11-18,48,23,4,,,,
2010-11-19,49,23,4,,,,
2010-11-20,50,23,4,,,,
2010-11-21,51,23,4,,,,
2010-11-22,52,24,4,,,,
2010-11-23,53,25,4,,,,
2010-11-24,54,26,4,,,,
2010-11-25,55,27,4,,,,
2010-11-26,56,27,4,,,,
2010-11-27,57,27,4,,,,
2010-11-28,58,27,4,,,,
2010-11-29,59,27,4,,,,
2010-11-30,60,30,4,,,,
2010-12-01,61,30,4,,,,
2010-12-02,62,30,4,,,,
2010-12-03,63,30,4,,,,
2010-12-04,64,30,4,,,,
2010-12-05,65,30,6,,,,
2010-12-06,66,30,6,,,,
2010-12-07,67,30,6,,,,
2010-12-08,68,30,6,,,,
2010-12-09,69,30,6,,,,
2010-12-10,70,30,6,,,,
2010-12-11,71,30,6,,,,
2010-12-12,72,31,6,,,,
2010-12-13,73,31,6,,,,
2010-12-14,74,31,6,,,,
2010-12-15,75,31,6,,,,
2010-12-16,76,31,6,,,,
2010-12-17,77,32,6,,,,
2010-12-18,78,32,6,,,,
2010-12-19,79,32,6,,,,
2010-12-20,80,32,6,,,,
2010-12-21,81,32,6,,,,
2010-12-22,82,32,6,,,,
2010-12-23,83,32,6,,,,
2010-12-24,84,32,6,,,,
2010-12-25,85,33,6,,,,
2010-12-26,86,34,6,,,,
2010-12-27,87,35,6,,,,
2010-12-28,88,36,6,,,,
2010-12-29,89,36,6,,,,
2010-12-30,90,37,6,,,,
2010-12-31,91,37,6,,,,
2011-01-01,,,,,,,
2011-01-02,1,1,,,,,
2011-01-03,2,3,,,,,
2011-01-04,3,4,,,,,
2011-01-05,4,5,,,,,
2011-01-06,5,6,,,,,
2011-01-07,6,6,,,,,
2011-01-08,7,8,,,,,
2011-01-09,8,8,,,,,
2011-01-10,9,7,,,,,
2011-01-11,10,7,,,,,
2011-01-12,11,9,,,,,
2011-01-13,12,10,,,,,
2011-01-14,13,11,,,,,
2011-01-15,14,11,,,,,
2011-01-16,15,11,,,,,
2011-01-17,16,11,,,,,
2011-01-18,17,11,,,,,
2011-01-19,18,12,,,,,
2011-01-20,19,13,,,,,
2011-01-21,20,13,,,,,
2011-01-22,21,12,,,,,
2011-01-23,22,12,,,,,
2011-01-24,23,12,,,,,
2011-01-25,24,12,,,,,
2011-01-26,25,12,,,,,
2011-01-27,26,11,2,,,,
2011-01-28,27,11,2,,,,
2011-01-29,28,11,2,,,,
2011-01-30,29,11,2,,,,
2011-01-31,30,11,2,,,,
2011-02-01,31,12,2,,,,
2011-02-02,32,14,2,,,,
2011-02-03,33,14,2,,,,
2011-02-04,34,15,2,,,,
2011-02-05,35,15,2,,,,
2011-02-06,36,15,2,,,,
2011-02-07,37,15,2,,,,
2011-02-08,38,16,2,,,,
2011-02-09,39,16,2,,,,
