,day_counter,0,1,2,3,4,5
2010-07-08,188,52,3,,,,
2010-07-09,189,52,3,,,,
2010-07-10,190,52,3,,,,
2010-07-11,191,52,3,,,,
2010-07-12,192,52,3,,,,
2010-07-13,193,51,3,,,,
2010-07-14,194,51,3,,,,
2010-07-15,195,51,3,,,,
2010-07-16,196,52,3,,,,
2010-07-17,197,53,3,,,,
2010-07-18,198,54,3,,,,
2010-07-19,199,55,3,,,,
2010-07-20,200,54,4,,,,
2010-07-21,201,56,4,,,,
2010-07-22,202,55,4,,,,
2010-07-23,203,54,6,,,,
2010-07-24,204,55,6,,,,
2010-07-25,205,55,6,,,,
2010-07-26,206,56,6,,,,
2010-07-27,207,58,6,,,,
2010-07-28,208,58,6,,,,
2010-07-29,209,58,6,,,,
2010-07-30,210,59,6,,,,
2010-07-31,211,59,6,,,,
2010-08-01,212,59,6,,,,
2010-08-02,213,57,6,,,,
2010-08-03,214,56,6,,,,
2010-08-04,215,55,6,,,,
2010-08-05,216,55,6,,,,
2010-08-06,217,56,6,,,,
2010-08-07,218,56,6,,,,
2010-08-08,219,56,6,,,,
2010-08-09,220,56,6,,,,
2010-08-10,221,56,6,,,,
2010-08-11,222,56,5,,,,
2010-08-12,223,56,5,,,,
2010-08-13,224,56,5,,,,
2010-08-14,225,56,5,,,,
2010-08-15,226,57,5,,,,
2010-08-16,227,58,5,,,,
2010-08-17,228,58,5,,,,
2010-08-18,229,58,5,,,,
2010-08-19,230,58,5,,,,
2010-08-20,231,58,5,,,,
2010-08-21,232,58,5,,,,
2010-08-22,233,58,5,,,,
2010-08-23,234,58,5,,,,
2010-08-24,235,58,5,,,,
2010-08-25,236,58,5,,,,
2010-08-26,237,58,5,,,,
2010-08-27,238,58,5,,,,
2010-08-28,239,58,5,,,,
2010-08-29,240,58,5,,,,
2010-08-30,241,58,4,,,,
2010-08-31,242,58,4,,,,
2010-09-01,243,58,4,,,,
2010-09-02,244,58,4,,,,
2010-09-03,245,58,4,,,,
2010-09-04,246,58,4,,,,
2010-09-05,247,58,4,,,,
2010-09-06,248,58,2,,,,
2010-09-07,249,56,3,,,,
2010-09-08,250,56,3,,,,
2010-09-09,251,56,3,,,,
2010-09-10,252,56,3,,,,
2010-09-11,253,58,3,,,,
2010-09-12,254,58,3,,,,
2010-09-13,255,58,3,,,,
2010-09-14,256,59,3,,,,
2010-09-15,257,60,3,,,,
2010-09-16,258,61,3,,,,
2010-09-17,259,62,3,,,,
2010-09-18,260,62,3,,,,
2010-09-19,261,62,3,,,,
2010-09-20,262,64,3,,,,
2010-09-21,263,63,3,,,,
2010-09-22,264,63,3,,,,
2010-09-23,265,63,3,,,,
2010-09-24,266,64,3,,,,
2010-09-25,267,63,5,,,,
2010-09-26,268,63,5,,,,
2010-09-27,269,62,4,,,,
2010-09-28,270,62,4,,,,
2010-09-29,271,62,4,,,,
2010-09-30,272,62,4,,,,
2010-10-01,273,60,4,,,,
2010-10-02,274,60,4,,,,
2010-10-03,275,61,4,,,,
2010-10-04,276,62,4,,,,
2010-10-05,277,64,2,,,,
2010-10-06,278,65,2,,,,
2010-10-07,279,65,2,,,,
